ts_local,weekday,hour,is_weekend,activity_level,lambda_ci,checkins,checkouts,cardio_sessions,strength_sessions,other_sessions,avg_session_min
2025-01-10 14:00:00,4,14,False,high,14,13,13,4,4,5,60.8
2025-01-10 15:00:00,4,15,False,high,18,20,20,4,9,7,70.6
2025-01-10 16:00:00,4,16,False,high,14,17,17,6,8,3,75.6
2025-01-10 17:00:00,4,17,False,high,20,7,5,1,2,4,51.7
2025-01-10 18:00:00,4,18,False,high,12,14,12,3,4,7,64.6
2025-01-10 19:00:00,4,19,False,high,20,18,18,6,6,6,78.1
2025-01-10 20:00:00,4,20,False,high,16,16,14,4,5,7,50.9
2025-01-10 21:00:00,4,21,False,high,17,20,18,6,8,6,46.1
2025-01-10 22:00:00,4,22,False,high,11,14,13,3,5,6,54.0
2025-01-11 06:00:00,5,6,True,high,21,22,20,5,7,10,94.4
2025-01-11 07:00:00,5,7,True,high,20,21,19,6,8,7,39.5
2025-01-11 08:00:00,5,8,True,high,17,22,21,5,8,9,62.8
2025-01-11 09:00:00,5,9,True,high,22,22,20,4,6,12,62.3
2025-01-11 10:00:00,5,10,True,high,11,10,8,3,3,4,66.0
2025-01-11 11:00:00,5,11,True,high,21,19,17,5,6,8,77.5
2025-01-11 12:00:00,5,12,True,high,19,19,19,6,8,5,54.0
2025-01-11 13:00:00,5,13,True,high,18,23,22,6,7,10,68.2
2025-01-11 14:00:00,5,14,True,high,21,20,18,7,8,5,50.2
2025-01-11 15:00:00,5,15,True,high,13,12,10,3,5,4,64.3
2025-01-11 16:00:00,5,16,True,high,20,12,10,4,5,3,48.7
2025-01-11 17:00:00,5,17,True,high,11,20,20,5,7,8,46.3
2025-01-11 18:00:00,5,18,True,high,15,16,16,4,4,8,46.9
2025-01-11 19:00:00,5,19,True,high,12,10,8,3,4,3,43.0
2025-01-11 20:00:00,5,20,True,high,14,12,11,4,4,4,53.6
2025-01-11 21:00:00,5,21,True,high,19,16,14,4,5,7,39.2
2025-01-11 22:00:00,5,22,True,high,13,14,12,3,5,6,73.8
2025-01-12 06:00:00,6,6,True,high,10,9,9,3,4,2,70.4
2025-01-12 07:00:00,6,7,True,high,21,32,31,9,13,10,43.5
2025-01-12 08:00:00,6,8,True,high,13,15,14,4,6,5,53.4
2025-01-12 09:00:00,6,9,True,high,18,25,25,8,7,10,81.9
2025-01-12 10:00:00,6,10,True,high,11,11,10,2,3,6,59.7
2025-01-12 11:00:00,6,11,True,high,15,21,21,7,8,6,35.0
2025-01-12 12:00:00,6,12,True,high,14,17,16,5,6,6,54.4
2025-01-12 13:00:00,6,13,True,high,12,9,8,1,2,6,39.7
2025-01-12 14:00:00,6,14,True,high,22,16,14,5,6,5,68.0
2025-01-12 15:00:00,6,15,True,high,25,18,18,5,8,5,50.0
2025-01-12 16:00:00,6,16,True,high,21,34,34,10,14,10,70.8
2025-01-12 17:00:00,6,17,True,high,22,16,16,5,7,4,50.9
2025-01-12 18:00:00,6,18,True,high,17,16,16,4,5,7,54.0
2025-01-12 19:00:00,6,19,True,high,22,21,21,7,6,8,58.7
2025-01-12 20:00:00,6,20,True,high,14,15,14,4,5,6,61.4
2025-01-12 21:00:00,6,21,True,high,9,5,3,1,2,2,54.3
2025-01-12 22:00:00,6,22,True,high,19,26,26,8,8,10,33.3
2025-01-13 06:00:00,0,6,False,high,19,19,17,6,6,7,66.3
2025-01-13 07:00:00,0,7,False,high,21,21,20,5,6,10,58.1
2025-01-13 08:00:00,0,8,False,high,11,7,5,1,3,3,56.6
2025-01-13 09:00:00,0,9,False,high,11,10,10,2,4,4,60.0
2025-01-13 10:00:00,0,10,False,high,23,29,27,7,12,10,60.8
2025-01-13 11:00:00,0,11,False,high,16,12,12,3,3,6,50.5
2025-01-13 12:00:00,0,12,False,high,19,19,17,5,8,6,63.1
2025-01-13 13:00:00,0,13,False,high,15,15,15,3,5,7,63.4
2025-01-13 14:00:00,0,14,False,high,14,18,16,6,6,6,57.1
2025-01-13 15:00:00,0,15,False,high,13,8,8,2,3,3,66.7
2025-01-13 16:00:00,0,16,False,high,17,20,18,5,9,6,53.5
2025-01-13 17:00:00,0,17,False,high,11,13,13,3,5,5,56.8
2025-01-13 18:00:00,0,18,False,high,17,11,10,2,4,5,56.2
2025-01-13 19:00:00,0,19,False,high,12,12,10,3,5,4,60.0
2025-01-13 20:00:00,0,20,False,high,15,17,15,5,6,6,44.1
2025-01-13 21:00:00,0,21,False,high,12,19,19,4,7,8,44.3
2025-01-13 22:00:00,0,22,False,high,18,17,15,4,7,6,65.8
2025-01-14 06:00:00,1,6,False,high,18,22,21,6,9,7,53.3
2025-01-14 07:00:00,1,7,False,high,14,13,11,3,5,5,56.7
2025-01-14 08:00:00,1,8,False,high,16,22,20,5,10,7,42.0
2025-01-14 09:00:00,1,9,False,high,19,24,24,5,7,12,49.9
2025-01-14 10:00:00,1,10,False,high,21,18,16,3,5,10,93.5
2025-01-14 11:00:00,1,11,False,high,17,14,14,4,4,6,44.3
2025-01-14 12:00:00,1,12,False,high,16,18,18,5,6,7,58.0
2025-01-14 13:00:00,1,13,False,high,13,13,13,4,4,5,59.9
2025-01-14 14:00:00,1,14,False,high,17,10,8,2,3,5,45.8
2025-01-14 15:00:00,1,15,False,high,15,10,10,2,3,5,56.7
2025-01-14 16:00:00,1,16,False,high,14,15,13,5,6,4,48.0
2025-01-14 17:00:00,1,17,False,high,14,13,13,3,4,6,51.2
2025-01-14 18:00:00,1,18,False,high,16,17,16,4,7,6,51.3
2025-01-14 19:00:00,1,19,False,high,19,14,14,4,6,4,53.8
2025-01-14 20:00:00,1,20,False,high,10,10,8,3,3,4,51.8
2025-01-14 21:00:00,1,21,False,high,14,14,12,3,6,5,57.4
2025-01-14 22:00:00,1,22,False,high,21,17,15,6,5,6,58.3
2025-01-15 06:00:00,2,6,False,high,11,11,10,2,4,5,71.0
2025-01-15 07:00:00,2,7,False,high,24,20,18,5,6,9,58.5
2025-01-15 08:00:00,2,8,False,high,14,12,10,2,4,6,61.9
2025-01-15 09:00:00,2,9,False,high,16,10,10,2,3,5,69.0
2025-01-15 10:00:00,2,10,False,high,11,5,4,1,1,3,59.3
2025-01-15 11:00:00,2,11,False,high,10,9,7,3,3,3,54.7
2025-01-15 12:00:00,2,12,False,high,23,33,32,13,15,5,43.1
2025-01-15 13:00:00,2,13,False,high,21,23,21,4,8,11,48.4
2025-01-15 14:00:00,2,14,False,high,17,10,8,2,3,5,74.2
2025-01-15 15:00:00,2,15,False,high,13,12,12,3,5,4,73.6
2025-01-15 16:00:00,2,16,False,high,16,18,17,5,6,7,34.3
2025-01-15 17:00:00,2,17,False,high,16,16,15,5,5,6,67.6
2025-01-15 18:00:00,2,18,False,high,16,19,19,7,6,6,77.1
2025-01-15 19:00:00,2,19,False,high,16,24,22,8,8,8,56.4
2025-01-15 20:00:00,2,20,False,high,18,21,20,7,8,6,56.4
2025-01-15 21:00:00,2,21,False,high,16,15,15,3,4,8,71.1
2025-01-15 22:00:00,2,22,False,high,16,16,14,4,5,7,61.8
2025-01-16 06:00:00,3,6,False,high,17,19,18,7,6,6,60.7
2025-01-16 07:00:00,3,7,False,high,7,6,4,1,2,3,45.9
2025-01-16 08:00:00,3,8,False,high,11,9,9,2,3,4,62.1
2025-01-16 09:00:00,3,9,False,high,16,9,8,2,3,4,33.5
2025-01-16 10:00:00,3,10,False,high,14,20,20,5,6,9,49.9
2025-01-16 11:00:00,3,11,False,high,16,22,22,7,7,8,60.2
2025-01-16 12:00:00,3,12,False,high,7,7,7,2,2,3,48.6
2025-01-16 13:00:00,3,13,False,high,16,15,15,4,6,5,57.8
2025-01-16 14:00:00,3,14,False,high,14,25,24,8,8,9,47.5
2025-01-16 15:00:00,3,15,False,high,9,4,2,0,1,3,59.3
2025-01-16 16:00:00,3,16,False,high,16,22,20,7,7,8,51.0
2025-01-16 17:00:00,3,17,False,high,6,3,2,0,1,2,61.1
2025-01-16 18:00:00,3,18,False,high,16,18,16,5,7,6,67.6
2025-01-16 19:00:00,3,19,False,high,14,11,9,3,3,5,41.0
2025-01-16 20:00:00,3,20,False,high,16,8,8,2,3,3,46.6
2025-01-16 21:00:00,3,21,False,high,21,16,15,4,6,6,52.7
2025-01-16 22:00:00,3,22,False,high,27,27,26,8,11,8,45.1
2025-01-17 06:00:00,4,6,False,high,7,10,9,3,4,3,53.6
2025-01-17 07:00:00,4,7,False,high,20,15,14,4,5,6,58.4
2025-01-17 08:00:00,4,8,False,high,20,13,13,3,5,5,54.1
2025-01-17 09:00:00,4,9,False,high,24,15,13,5,4,6,36.8
2025-01-17 10:00:00,4,10,False,high,18,20,19,6,6,8,81.7
2025-01-17 11:00:00,4,11,False,high,16,15,14,5,6,4,64.1
2025-01-17 12:00:00,4,12,False,high,14,11,11,3,3,5,52.7
2025-01-17 13:00:00,4,13,False,high,18,24,22,8,9,7,55.2
2025-01-17 14:00:00,4,14,False,high,10,12,11,4,5,3,64.5
2025-01-17 15:00:00,4,15,False,high,21,16,16,4,7,5,56.6
2025-01-17 16:00:00,4,16,False,high,12,10,10,2,3,5,53.6
2025-01-17 17:00:00,4,17,False,high,19,16,15,4,6,6,50.0
2025-01-17 18:00:00,4,18,False,high,13,11,9,3,5,3,52.8
2025-01-17 19:00:00,4,19,False,high,25,37,36,12,13,12,59.5
2025-01-17 20:00:00,4,20,False,high,18,13,12,3,4,6,44.9
2025-01-17 21:00:00,4,21,False,high,24,19,18,5,7,7,48.0
2025-01-17 22:00:00,4,22,False,high,18,19,17,6,8,5,62.3
2025-01-18 06:00:00,5,6,True,high,16,18,16,6,8,4,53.5
2025-01-18 07:00:00,5,7,True,high,20,23,21,6,10,7,59.7
2025-01-18 08:00:00,5,8,True,high,13,20,18,4,9,7,66.8
2025-01-18 09:00:00,5,9,True,high,13,16,16,3,4,9,40.7
2025-01-18 10:00:00,5,10,True,high,22,17,15,4,5,8,42.8
2025-01-18 11:00:00,5,11,True,high,17,16,15,5,5,6,80.9
2025-01-18 12:00:00,5,12,True,high,17,17,16,3,6,8,53.3
2025-01-18 13:00:00,5,13,True,high,19,19,17,5,6,8,63.8
2025-01-18 14:00:00,5,14,True,high,10,7,7,1,3,3,61.9
2025-01-18 15:00:00,5,15,True,high,11,15,15,4,6,5,60.9
2025-01-18 16:00:00,5,16,True,high,15,17,16,3,7,7,39.9
2025-01-18 17:00:00,5,17,True,high,12,23,23,6,9,8,46.7
2025-01-18 18:00:00,5,18,True,high,10,10,8,2,3,5,52.5
2025-01-18 19:00:00,5,19,True,high,20,21,21,6,6,9,61.5
2025-01-18 20:00:00,5,20,True,high,18,20,18,7,6,7,60.7
2025-01-18 21:00:00,5,21,True,high,17,15,14,3,4,8,75.5
2025-01-18 22:00:00,5,22,True,high,23,19,18,6,8,5,57.7
2025-01-19 06:00:00,6,6,True,high,16,16,15,6,5,5,43.8
2025-01-19 07:00:00,6,7,True,high,14,14,13,3,5,6,60.2
2025-01-19 08:00:00,6,8,True,high,16,15,13,5,5,5,47.9
2025-01-19 09:00:00,6,9,True,high,18,16,15,4,5,7,53.9
2025-01-19 10:00:00,6,10,True,high,14,13,13,5,4,4,68.7
2025-01-19 11:00:00,6,11,True,high,17,14,12,2,5,7,67.1
2025-01-19 12:00:00,6,12,True,high,14,17,17,6,6,5,44.4
2025-01-19 13:00:00,6,13,True,high,18,14,13,4,4,6,53.5
2025-01-19 14:00:00,6,14,True,high,14,21,21,5,9,7,57.2
2025-01-19 15:00:00,6,15,True,high,15,13,11,3,5,5,51.7
2025-01-19 16:00:00,6,16,True,high,12,10,8,3,4,3,62.0
2025-01-19 17:00:00,6,17,True,high,24,26,26,9,8,9,48.2
2025-01-19 18:00:00,6,18,True,high,20,22,21,7,8,7,47.8
2025-01-19 19:00:00,6,19,True,high,19,11,9,2,3,6,60.8
2025-01-19 20:00:00,6,20,True,high,19,13,13,5,4,4,43.4
2025-01-19 21:00:00,6,21,True,high,9,7,7,1,2,4,44.1
2025-01-19 22:00:00,6,22,True,high,20,25,23,7,9,9,51.6
2025-01-20 06:00:00,0,6,False,high,10,8,6,1,2,5,40.8
2025-01-20 07:00:00,0,7,False,high,19,18,16,6,8,4,60.5
2025-01-20 08:00:00,0,8,False,high,13,8,6,1,2,5,49.8
2025-01-20 09:00:00,0,9,False,high,16,17,15,5,6,6,57.1
2025-01-20 10:00:00,0,10,False,high,22,25,25,9,10,6,52.0
2025-01-20 11:00:00,0,11,False,high,15,13,13,3,6,4,47.0
2025-01-20 12:00:00,0,12,False,high,16,16,14,3,6,7,66.2
2025-01-20 13:00:00,0,13,False,high,12,13,11,4,6,3,62.4
2025-01-20 14:00:00,0,14,False,high,21,22,21,8,10,4,49.1
2025-01-20 15:00:00,0,15,False,high,22,21,21,4,10,7,57.1
2025-01-20 16:00:00,0,16,False,high,18,15,14,5,6,4,60.5
2025-01-20 17:00:00,0,17,False,high,16,15,13,3,4,8,47.0
2025-01-20 18:00:00,0,18,False,high,14,12,10,3,5,4,35.8
2025-01-20 19:00:00,0,19,False,high,19,18,18,4,5,9,63.3
2025-01-20 20:00:00,0,20,False,high,21,29,27,9,11,9,59.9
2025-01-20 21:00:00,0,21,False,high,25,26,26,9,11,6,67.7
2025-01-20 22:00:00,0,22,False,high,22,25,25,8,9,8,44.6
2025-01-21 06:00:00,1,6,False,high,15,5,5,1,2,2,42.6
2025-01-21 07:00:00,1,7,False,high,15,14,12,4,5,5,59.0
2025-01-21 08:00:00,1,8,False,high,17,15,13,4,7,4,68.9
2025-01-21 09:00:00,1,9,False,high,14,15,15,3,7,5,68.5
2025-01-21 10:00:00,1,10,False,high,23,38,38,13,14,11,65.3
2025-01-21 11:00:00,1,11,False,high,19,9,8,2,3,4,74.1
2025-01-21 12:00:00,1,12,False,high,22,29,27,7,11,11,69.4
2025-01-21 13:00:00,1,13,False,high,11,11,10,3,4,4,68.7
2025-01-21 14:00:00,1,14,False,high,21,26,24,5,8,13,49.4
2025-01-21 15:00:00,1,15,False,high,20,20,20,4,8,8,51.4
2025-01-21 16:00:00,1,16,False,high,13,10,10,2,3,5,51.2
2025-01-21 17:00:00,1,17,False,high,15,9,7,3,4,2,56.2
2025-01-21 18:00:00,1,18,False,high,16,12,12,3,3,6,49.3
2025-01-21 19:00:00,1,19,False,high,13,16,16,5,7,4,42.2
2025-01-21 20:00:00,1,20,False,high,8,5,5,1,1,3,56.0
2025-01-21 21:00:00,1,21,False,high,20,18,17,3,7,8,60.6
2025-01-21 22:00:00,1,22,False,high,14,13,12,4,4,5,68.1
2025-01-22 06:00:00,2,6,False,high,20,15,15,4,4,7,62.8
2025-01-22 07:00:00,2,7,False,high,16,16,14,5,7,4,54.0
2025-01-22 08:00:00,2,8,False,high,21,22,22,5,10,7,44.2
2025-01-22 09:00:00,2,9,False,high,14,18,18,5,7,6,56.6
2025-01-22 10:00:00,2,10,False,high,11,9,7,3,3,3,40.5
2025-01-22 11:00:00,2,11,False,high,21,25,25,8,8,9,52.0
2025-01-22 12:00:00,2,12,False,high,22,17,16,6,5,6,71.0
2025-01-22 13:00:00,2,13,False,high,10,5,5,1,1,3,64.4
2025-01-22 14:00:00,2,14,False,high,12,15,15,4,7,4,74.2
2025-01-22 15:00:00,2,15,False,high,23,18,16,6,5,7,63.2
2025-01-22 16:00:00,2,16,False,high,17,18,16,5,8,5,67.3
2025-01-22 17:00:00,2,17,False,high,18,16,16,6,5,5,38.2
2025-01-22 18:00:00,2,18,False,high,21,26,26,6,10,10,69.5
2025-01-22 19:00:00,2,19,False,high,21,26,26,6,8,12,51.9
2025-01-22 20:00:00,2,20,False,high,17,21,19,4,7,10,50.0
2025-01-22 21:00:00,2,21,False,high,21,25,23,6,10,9,55.0
2025-01-22 22:00:00,2,22,False,high,17,22,20,5,8,9,60.3
